TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;REGISTRO_VALIDO;ANO_REGISTRO;CLASSE_TERAPEUTICA_NORMALIZADA
MEDICAMENTO;ABRIFIT;07/07/2014;FITOTERAPICO;154230216.0;2029-01-07;25351356211201368;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES;03485572000104 - GEOLAB INDUSTRIA FARMACEUTICA S/A;VALIDO;HEDERA HELIX L.;Sim;2029;expectorantes_simples_+_fitoterapico_simples
MEDICAMENTO;ABRILAR;12/05/2003;FITOTERAPICO;103900141.0;2028-01-05;25351164045200222;EXPECTORANTES + FITOTERAPICO SIMPLES;33349473000158 - FARMOQUIMICA S/A;VALIDO;HEDERA HELIX L.;Sim;2028;expectorantes_+_fitoterapico_simples
MEDICAMENTO;ACALMILFITO;08/03/2021;FITOTERAPICO;118190216.0;2031-01-03;25351963576202082;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO;92265552000140 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;VALIDO;CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.;Sim;2031;ansioliticos-associacoes_medicamentosas_+_fitoterapico_composto
MEDICAMENTO;ACCUVIT;02/10/2002;ESPECIFICO;105730206.0;2027-01-03;2599100418277;VITAMINAS E SUPLEMENTOS MINERAIS;60659463002992 - ACHE LABORATORIOS FARMACEUTICOS S.A;VALIDO;ACETATO DE RACEALFATOCOFEROL +  BETACAROTENO +  OXIDO CUPRICO +  RIBOFLAVINA +  SELENATO DE SODIO +  ACIDO ASCORBICO +  OXIDO CUPRICO +  OXIDO DE ZINCO;Sim;2027;vitaminas_e_suplementos_minerais
MEDICAMENTO;ACEBROFILINA;19/03/2007;GENERICO;125680159.0;2027-01-03;25351368763200608;BRONCODILATADORES;73856593000166 - PRATI DONADUZZI & CIA LTDA;VALIDO;ACEBROFILINA;Sim;2027;broncodilatadores
MEDICAMENTO;ACEBROFILINA;19/05/2008;GENERICO;154230123.0;2028-01-05;25351120208200770;BRONCODILATADORES;03485572000104 - GEOLAB INDUSTRIA FARMACEUTICA S/A;VALIDO;ACEBROFILINA;Sim;2028;broncodilatadores
MEDICAMENTO;ACEBROFILINA;21/03/2011;;178170089.0;2015-01-08;25351652091200961;BRONCODILATADORES;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;VALIDO;ACEBROFILINA;Sim;2015;broncodilatadores
MEDICAMENTO;ACEBROFILINA;28/01/2013;GENERICO;155840398.0;2025-01-08;25351525180201119;BRONCODILATADORES;05161069000110 - BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A;VALIDO;ACEBROFILINA;Sim;2025;broncodilatadores
MEDICAMENTO;ACEBROFILINA;21/01/2019;GENERICO;105730609.0;2029-01-06;25351849309201889;BRONCODILATADORES;60659463002992 - ACHE LABORATORIOS FARMACEUTICOS S.A;VALIDO;ACEBROFILINA;Sim;2029;broncodilatadores
MEDICAMENTO;ACECLOFENACO;15/08/2002;GENERICO;123520100.0;2027-01-08;253510081970284;ANTINFLAMATORIOS;73663650000190 - RANBAXY FARMACEUTICA LTDA;VALIDO;ACECLOFENACO;Sim;2027;antinflamatorios
MEDICAMENTO;ACECLOFENACO;12/03/2007;GENERICO;105830541.0;2027-01-03;25351429196200665;ANTINFLAMATORIOS;45992062000165 - GERMED FARMACEUTICA LTDA;VALIDO;ACECLOFENACO;Sim;2027;antinflamatorios
MEDICAMENTO;ACECLOFENACO;05/12/2011;GENERICO;102351053.0;2026-01-12;25351730441200914;ANTINFLAMATORIOS;57507378000365 - EMS S/A;VALIDO;ACECLOFENACO;Sim;2026;antinflamatorios
MEDICAMENTO;ACECLOFENACO;12/12/2011;GENERICO;105830742.0;2026-01-12;25351745914200979;ANTINFLAMATORIOS;45992062000165 - GERMED FARMACEUTICA LTDA;VALIDO;ACECLOFENACO;Sim;2026;antinflamatorios
MEDICAMENTO;ACECLOFENACO;12/12/2011;GENERICO;167730357.0;2026-01-12;25351742066200933;ANTINFLAMATORIOS;05044984000126 - LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;VALIDO;ACECLOFENACO;Sim;2026;antinflamatorios
MEDICAMENTO;ACECLOFENACO;14/05/2012;GENERICO;126750156.0;2027-01-05;25351548450201179;ANTINFLAMATORIOS;72593791000111 - NOVA QUIMICA FARMACEUTICA S/A;VALIDO;ACECLOFENACO;Sim;2027;antinflamatorios
MEDICAMENTO;ACECLOFENACO;04/11/2013;GENERICO;103920172.0;2028-01-11;25351047703201011;ANTINFLAMATORIOS;30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;VALIDO;ACECLOFENACO;Sim;2028;antinflamatorios
MEDICAMENTO;ACECLOFENACO;27/03/2017;GENERICO;156510064.0;2027-01-03;25351185488201242;ANTINFLAMATORIOS;05254971000181 - ZYDUS NIKKHO FARMACEUTICA LTDA;VALIDO;ACECLOFENACO;Sim;2027;antinflamatorios
MEDICAMENTO;ACEFLOR;31/07/2017;SIMILAR;126750290.0;2027-01-07;25351307380201627;ANTINFLAMATORIOS;72593791000111 - NOVA QUIMICA FARMACEUTICA S/A;VALIDO;ACECLOFENACO;Sim;2027;antinflamatorios
MEDICAMENTO;ACERATUM;21/02/2003;SIMILAR;104400005.0;2025-01-06;2599200340370;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA;33173097000274 - CELLERA FARMACEUTICA S.A.;VALIDO;PEROXIDO DE UREIA;Sim;2025;medicamentos_ativos_na_secrecao_gordurosa
MEDICAMENTO;ACERTALIX;02/09/2019;NOVO;112780077.0;2029-01-09;25351666271201475;ANTI-HIPERTENSIVOS;42374207000176 - LABORATORIOS SERVIER DO BRASIL LTDA;VALIDO;INDAPAMIDA +  PERINDOPRIL ARGININA;Sim;2029;anti-hipertensivos
MEDICAMENTO;ACERTANLO;30/01/2017;NOVO;112780075.0;2027-01-01;25351118802201460;ANTI-HIPERTENSIVOS;42374207000176 - LABORATORIOS SERVIER DO BRASIL LTDA;VALIDO;BESILATO DE ANLODIPINO +  PERINDOPRIL ARGININA;Sim;2027;anti-hipertensivos
MEDICAMENTO;ACERTIL;13/01/2014;NOVO;112780074.0;2029-01-01;25351047692200967;ANTI-HIPERTENSIVOS;42374207000176 - LABORATORIOS SERVIER DO BRASIL LTDA;VALIDO;PERINDOPRIL ARGININA;Sim;2029;anti-hipertensivos
MEDICAMENTO;ACESYL;05/03/2007;ESPECIFICO;164000001.0;2027-01-03;25351407134200601;VITAMINAS E SUPLEMENTOS MINERAIS;05155425000193 - CASULA & VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA;VALIDO;CLORIDRATO DE TIAMINA;Sim;2027;vitaminas_e_suplementos_minerais
MEDICAMENTO;ACETATO DE ABIRATERONA;25/06/2018;GENERICO;100431245.0;2028-01-06;25351368629201788;ANTINEOPLASICO;61190096000192 - EUROFARMA LABORATORIOS S.A.;VALIDO;ACETATO DE ABIRATERONA;Sim;2028;antineoplasico
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;30/08/1996;SIMILAR;106460069.0;2001-01-08;250000277979675;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS;61282661000141 - LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;VALIDO;ACETATO DE CIPROTERONA;Sim;2001;hormonios_sexuais_exclusive_ocitocicos
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;03/05/2013;GENERICO;155840400.0;2028-01-05;25351703022201132;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;05161069000110 - BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A;VALIDO;ACETATO DE CIPROTERONA +  ETINILESTRADIOL;Sim;2028;estrogenos_assocs__a_outros_farmacos_exclusive_androgenos
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;09/05/2016;GENERICO;177940029.0;2026-01-05;25351056403201375;ANDROGENOS SIMPLES;09545589000188 - MABRA FARMACEUTICA LTDA;VALIDO;ACETATO DE CIPROTERONA +  ETINILESTRADIOL;Sim;2026;androgenos_simples
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;31/01/2022;GENERICO;126750408.0;2032-01-01;25351576153201488;ANTICONCEPCIONAIS;72593791000111 - NOVA QUIMICA FARMACEUTICA S/A;VALIDO;ACETATO DE CLORMADINONA +  ETINILESTRADIOL;Sim;2032;anticoncepcionais
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;31/01/2022;GENERICO;167730674.0;2032-01-01;25351578918201414;ANTICONCEPCIONAIS;05044984000126 - LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;VALIDO;ACETATO DE CLORMADINONA +  ETINILESTRADIOL;Sim;2032;anticoncepcionais
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;21/02/2022;GENERICO;105831005.0;2032-01-02;25351578919201469;ANTICONCEPCIONAIS;45992062000165 - GERMED FARMACEUTICA LTDA;VALIDO;ACETATO DE CLORMADINONA +  ETINILESTRADIOL;Sim;2032;anticoncepcionais
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;22/06/2015;GENERICO;183260226.0;2027-01-08;25351096058201558;CERATOLITICOS E CERATOPLASTICOS;10588595001092 - SANOFI MEDLEY FARMACEUTICA LTDA.;VALIDO;ACETATO DE CLOSTEBOL +  SULFATO DE NEOMICINA;Sim;2027;ceratoliticos_e_ceratoplasticos
MEDICAMENTO;ACETATO DE DEXAMETASONA;11/07/2005;GENERICO;125680126.0;2025-01-07;25351045969200573;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;73856593000166 - PRATI DONADUZZI & CIA LTDA;VALIDO;ACETATO DE DEXAMETASONA;Sim;2025;glicocorticoides_top._simp._exc._uso_oftalm.
MEDICAMENTO;ACETATO DE DEXAMETASONA;15/05/2006;GENERICO;104971334.0;2026-01-05;25351072733200691;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;60665981000118 - UNIAO QUIMICA FARMACEUTICA NACIONAL S/A;VALIDO;ACETATO DE DEXAMETASONA;Sim;2026;glicocorticoides_top._simp._exc._uso_oftalm.
MEDICAMENTO;ACETATO DE DEXAMETASONA;25/06/2007;GENERICO;102350848.0;2027-01-06;25351486639200615;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;57507378000365 - EMS S/A;VALIDO;ACETATO DE DEXAMETASONA;Sim;2027;glicocorticoides_top._simp._exc._uso_oftalm.
MEDICAMENTO;ACETATO DE DEXAMETASONA;25/06/2007;GENERICO;105830544.0;2027-01-06;25351482857200681;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;45992062000165 - GERMED FARMACEUTICA LTDA;VALIDO;ACETATO DE DEXAMETASONA;Sim;2027;glicocorticoides_top._simp._exc._uso_oftalm.
MEDICAMENTO;ACETATO DE HIDROCORTISONA;15/05/2006;GENERICO;104971333.0;2026-01-05;25351070308200667;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;60665981000118 - UNIAO QUIMICA FARMACEUTICA NACIONAL S/A;VALIDO;ACETATO DE HIDROCORTISONA;Sim;2026;glicocorticoides_top._simp._exc._uso_oftalm.
MEDICAMENTO;ACETATO DE PREDNISOLONA;28/05/2012;GENERICO;154230190.0;2027-01-05;25351735051200998;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;03485572000104 - GEOLAB INDUSTRIA FARMACEUTICA S/A;VALIDO;ACETATO DE PREDNISOLONA;Sim;2027;glicocorticoides_topico_oftalmologico_simples
MEDICAMENTO;ACETATO DE SODIO;17/05/2010;ESPECIFICO;164000004.0;2025-01-05;25351722910200853;ELETROLITOS SIMPLES;05155425000193 - CASULA & VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA;VALIDO;ACETATO DE SODIO TRI-HIDRATADO;Sim;2025;eletrolitos_simples
MEDICAMENTO;ACETAZONA;09/08/2001;SIMILAR;109630046.0;2026-01-08;250000387869882;GLICOCORTICOIDES SISTEMICOS;06597801000162 - THEODORO F SOBRAL & CIA LTDA;VALIDO;ACETATO DE DEXAMETASONA +  DEXAMETASONA;Sim;2026;glicocorticoides_sistemicos
MEDICAMENTO;ACETICIL;13/01/2000;SIMILAR;107150069.0;2029-01-05;250000040468843;ANALGESICOS;44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;VALIDO;ACIDO ACETILSALICILICO;Sim;2029;analgesicos
MEDICAMENTO;ACETILCISTEINA;17/01/2002;GENERICO;100430772.0;2027-01-01;253510323530183;EXPECTORANTES BALSAMICOS E MUCOLITICO;61190096000192 - EUROFARMA LABORATORIOS S.A.;VALIDO;ACETILCISTEINA;Sim;2027;expectorantes_balsamicos_e_mucolitico
MEDICAMENTO;ACETILCISTEINA;04/07/2016;GENERICO;155840519.0;2026-01-07;25351663290201025;EXPECTORANTES BALSAMICOS E MUCOLITICO;05161069000110 - BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A;VALIDO;ACETILCISTEINA;Sim;2026;expectorantes_balsamicos_e_mucolitico
MEDICAMENTO;ACETILCISTEINA;11/02/2019;GENERICO;105730648.0;2027-01-01;25351856205201821;EXPECTORANTES BALSAMICOS E MUCOLITICO;60659463002992 - ACHE LABORATORIOS FARMACEUTICOS S.A;VALIDO;ACETILCISTEINA;Sim;2027;expectorantes_balsamicos_e_mucolitico
MEDICAMENTO;ACETILCISTEINA;21/11/2003;GENERICO;125680100.0;2028-01-11;25351025540200306;EXPECTORANTES BALSAMICOS E MUCOLITICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;VALIDO;ACETILCISTEINA;Sim;2028;expectorantes_balsamicos_e_mucolitico
MEDICAMENTO;ACETILCISTEINA;23/03/2005;GENERICO;135690259.0;2015-01-03;25351263528200471;EXPECTORANTES BALSAMICOS E MUCOLITICO;00923140000131 - EMS SIGMA PHARMA LTDA;VALIDO;ACETILCISTEINA;Sim;2015;expectorantes_balsamicos_e_mucolitico
MEDICAMENTO;ACETILCISTEINA;20/06/2005;GENERICO;125680127.0;2025-01-06;25351043353200568;EXPECTORANTES BALSAMICOS E MUCOLITICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;VALIDO;ACETILCISTEINA;Sim;2025;expectorantes_balsamicos_e_mucolitico
MEDICAMENTO;ACETILCISTEINA;03/09/2007;GENERICO;154230108.0;2027-01-09;25351100546200795;EXPECTORANTES BALSAMICOS E MUCOLITICO;03485572000104 - GEOLAB INDUSTRIA FARMACEUTICA S/A;VALIDO;ACETILCISTEINA;Sim;2027;expectorantes_balsamicos_e_mucolitico
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA;29/09/2008;GENERICO;154230131.0;2028-01-09;25351051802200894;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;03485572000104 - GEOLAB INDUSTRIA FARMACEUTICA S/A;VALIDO;ACETONIDA DE TRIANCINOLONA;Sim;2028;glicocorticoides_top._simp._exc._uso_oftalm.
MEDICAMENTO;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;21/01/2004;GENERICO;102350651.0;2029-01-01;25351050818200375;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;57507378000365 - EMS S/A;VALIDO;GRAMICIDINA +  NISTATINA +  SULFATO DE NEOMICINA +  TRIANCINOLONA ACETONIDA;Sim;2029;antinfecciosos_topicos-associacoes_medicamentosas
MEDICAMENTO;ACEVITON;01/09/2014;ESPECIFICO;143810165.0;2029-01-09;25351457119201356;VITAMINAS;02814497000107 - CIMED INDUSTRIA S.A;VALIDO;ACIDO ASCORBICO;Sim;2029;vitaminas
MEDICAMENTO;ACEZO;30/08/2021;SIMILAR;102980564.0;2031-01-08;25351338698201901;SUPRESSORES DA REABSORCAO OSSEA;44734671000151 - CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.;VALIDO;ACIDO ZOLEDRONICO MONOIDRATADO;Sim;2031;supressores_da_reabsorcao_ossea
MEDICAMENTO;ACFOL;04/02/2000;ESPECIFICO;107150066.0;2028-01-10;2500000404788;ANTIANEMICOS;44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;VALIDO;ACIDO FOLICO;Sim;2028;antianemicos
MEDICAMENTO;ACHEFLAN;09/11/2004;FITOTERAPICO;105730341.0;2029-01-11;25351148578200429;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES;60659463002992 - ACHE LABORATORIOS FARMACEUTICOS S.A;VALIDO;CORDIA VERBENACEA DC.;Sim;2029;antinflamatorios_+_fitoterapico_simples
MEDICAMENTO;ACICLOMAX;21/09/1998;SIMILAR;103900124.0;2003-01-09;250000363649718;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);33349473000158 - FARMOQUIMICA S/A;VALIDO;CLORIDRATO DE VALACICLOVIR;Sim;2003;antiviroticos_(inibe_replicacao_virotica)
MEDICAMENTO;ACICLOMED;07/05/2001;SIMILAR;143810023.0;2029-01-03;250000296259771;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);02814497000107 - CIMED INDUSTRIA S.A;VALIDO;ACICLOVIR;Sim;2029;antiviroticos_(inibe_replicacao_virotica)
MEDICAMENTO;ACICLOR;21/10/1999;SIMILAR;106890110.0;2029-01-10;2500003624598;ANTIVIROTICOS;92695691000103 - KLEY HERTZ FARMACEUTICA S.A;VALIDO;ACICLOVIR;Sim;2029;antiviroticos
MEDICAMENTO;ACICLOR;17/05/2021;SIMILAR;106890205.0;2031-01-05;25351851846201899;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);92695691000103 - KLEY HERTZ FARMACEUTICA S.A;VALIDO;ACICLOVIR;Sim;2031;antiviroticos_(inibe_replicacao_virotica)
MEDICAMENTO;ACICLOVIR;30/08/1996;SIMILAR;101160144.0;2001-01-08;250000134689665;ANTIVIROTICOS;33258450000138 - KNOLL PRODUTOS QUIMICOS E FARMACEUTICOS LTDA;VALIDO;;Sim;2001;antiviroticos
MEDICAMENTO;ACICLOVIR;22/11/2000;GENERICO;102980250.0;2025-01-11;253510150080068;ANTIVIROTICOS;44734671000151 - CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.;VALIDO;ACICLOVIR;Sim;2025;antiviroticos
MEDICAMENTO;ACICLOVIR;22/01/2001;GENERICO;123520057.0;2026-01-01;253510276040081;ANTIVIROTICOS;73663650000190 - RANBAXY FARMACEUTICA LTDA;VALIDO;ACICLOVIR;Sim;2026;antiviroticos
MEDICAMENTO;ACICLOVIR;05/11/2001;GENERICO;100890280.0;2026-01-11;253510144630108;ANTIVIROTICOS;33069212000184 - MERCK S/A;VALIDO;ACICLOVIR;Sim;2026;antiviroticos
MEDICAMENTO;ACICLOVIR;19/07/2002;GENERICO;100470329.0;2027-01-07;253510190060165;ANTIVIROTICOS;61286647000116 - SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA;VALIDO;ACICLOVIR;Sim;2027;antiviroticos
MEDICAMENTO;ACICLOVIR;27/07/2004;GENERICO;125680111.0;2029-01-07;25351001249200415;ANTIVIROTICOS;73856593000166 - PRATI DONADUZZI & CIA LTDA;VALIDO;ACICLOVIR;Sim;2029;antiviroticos
MEDICAMENTO;ACICLOVIR;17/07/2006;GENERICO;118190065.0;2026-01-07;25351026616200655;ANTIVIROTICOS;92265552000140 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;VALIDO;ACICLOVIR;Sim;2026;antiviroticos
MEDICAMENTO;ACICLOVIR;22/10/2007;GENERICO;125680163.0;2027-01-10;25351339870200611;ANTIVIROTICOS;73856593000166 - PRATI DONADUZZI & CIA LTDA;VALIDO;ACICLOVIR;Sim;2027;antiviroticos
MEDICAMENTO;ACICLOVIR;15/12/2014;GENERICO;103700610.0;2029-01-12;25351390564201488;ANTIVIROTICOS;17159229000176 - LABORATORIO TEUTO BRASILEIRO S/A;VALIDO;ACICLOVIR +  ACICLOVIR SODICO;Sim;2029;antiviroticos
MEDICAMENTO;ACICLOVIR;22/06/2015;GENERICO;183260160.0;2026-01-12;25351649669201426;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);10588595001092 - SANOFI MEDLEY FARMACEUTICA LTDA.;VALIDO;ACICLOVIR;Sim;2026;antiviroticos_(inibe_replicacao_virotica)
MEDICAMENTO;ACICLOVIR;12/03/2018;SIMILAR;104971416.0;2028-01-03;25351655883201797;ANTIVIROTICOS;60665981000118 - UNIAO QUIMICA FARMACEUTICA NACIONAL S/A;VALIDO;ACICLOVIR +  ACICLOVIR SODICO;Sim;2028;antiviroticos
MEDICAMENTO;ACICLOVIR;24/12/2018;GENERICO;105730556.0;2025-01-06;25351689341201807;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);60659463002992 - ACHE LABORATORIOS FARMACEUTICOS S.A;VALIDO;ACICLOVIR;Sim;2025;antiviroticos_(inibe_replicacao_virotica)
MEDICAMENTO;ACICLOVIR;14/01/2019;GENERICO;105730568.0;2025-01-07;25351691204201824;ANTIVIROTICOS;60659463002992 - ACHE LABORATORIOS FARMACEUTICOS S.A;VALIDO;ACICLOVIR;Sim;2025;antiviroticos
MEDICAMENTO;ACIDO ACETILSALICILICO;28/06/2001;GENERICO;102350508.0;2026-01-06;253510074230165;ANALGESICOS NAO NARCOTICOS;57507378000365 - EMS S/A;VALIDO;ACIDO ACETILSALICILICO;Sim;2026;analgesicos_nao_narcoticos
MEDICAMENTO;ACIDO MEFENAMICO;27/12/2021;GENERICO;135170062.0;2030-01-04;25351330137202170;ANTINFLAMATORIOS ANTIREUMATICOS;48344725000719 - ALTHAIA S.A INDUSTRIA FARMACEUTICA;VALIDO;ACIDO MEFENAMICO;Sim;2030;antinflamatorios_antireumaticos
MEDICAMENTO;ACIDO TRANEXAMICO;13/09/2010;GENERICO;167730151.0;2025-01-09;25351125006200958;ANTIFIBRINOLITICOS;05044984000126 - LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;VALIDO;ACIDO TRANEXAMICO;Sim;2025;antifibrinoliticos
MEDICAMENTO;ACIDO TRANEXAMICO;12/08/2013;GENERICO;116370099.0;2027-01-09;25351323698201362;ANTIFIBRINOLITICOS;58430828000160 - BLAU FARMACEUTICA S.A.;VALIDO;ACIDO TRANEXAMICO;Sim;2027;antifibrinoliticos
MEDICAMENTO;ACIDO ZOLEDRONICO;02/03/2015;GENERICO;116370129.0;2025-01-03;25351194444201251;SUPRESSORES DA REABSORCAO OSSEA;58430828000160 - BLAU FARMACEUTICA S.A.;VALIDO;ACIDO ZOLEDRONICO MONOIDRATADO;Sim;2025;supressores_da_reabsorcao_ossea
MEDICAMENTO;ACIDO ZOLEDRONICO;23/03/2015;GENERICO;102980415.0;2025-01-03;25351572082201289;SUPRESSORES DA REABSORCAO OSSEA;44734671000151 - CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.;VALIDO;ACIDO ZOLEDRONICO MONOIDRATADO;Sim;2025;supressores_da_reabsorcao_ossea
MEDICAMENTO;ACIDO ZOLEDRONICO;13/07/2015;GENERICO;155620038.0;2025-01-07;25351469106201283;SUPRESSORES DA REABSORCAO OSSEA;05439635000103 - ANTIBIOTICOS DO BRASIL LTDA;VALIDO;ACIDO ZOLEDRONICO MONOIDRATADO;Sim;2025;supressores_da_reabsorcao_ossea
